Cycles to Failure,Stress Amplitude,hatch space  (μm),layer scan rotation  (°),wire feed rate  (mm/s),types of feedstock,ultimate tensile strength  (MPa),scan speed  (mm/s),scan pattern,current  (A),stress concentration factor of specimens,AM environment,preheat temperature  (°C),layer thickness  (μm),elongation  (%),types of AM,Frequency,critical cross-section size of specimens (mm),load control,voltage  (V),Young's modulus  (GPa),powder feed rate  (g/s),power  (W),yield strength  (MPa),fatigue environment,R-value,size of feedstock  (μm),speed function,direciton of specimen  (°),fatigue temperature  (°C),log10(Cycles to Failure),Material_Code,Maximum Stress,Minimum Stress
177260.954474137,202.888533379163,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,0.0,25.0,5.248613083463931,IN718,450.8634075092511,45.08634075092511
197951.990482752,202.730129126069,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,0.0,25.0,5.29655987310681,IN718,450.51139805793105,45.051139805793106
999942.125965505,124.024952195856,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,0.0,25.0,5.999974864898832,IN718,275.61100487968,27.561100487968005
1060915.34513027,135.018861347017,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,0.0,25.0,6.0256807311119225,IN718,300.04191410448226,30.00419141044823
1160742.45382959,134.86192236944,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,0.0,25.0,6.064735868930224,IN718,299.69316082097777,29.969316082097777
367638.492226152,236.414025769916,,67.0,,powder,676.0,750.0,stripe,,1.0,,,50.0,,L-PBF,10.0,2.8,force,,,,200.0,,air,0.0,32.15,,90.0,25.0,5.565420976289263,316L,472.828051539832,0.0
379469.427557741,236.414025769916,,67.0,,powder,676.0,750.0,stripe,,1.0,,,50.0,,L-PBF,10.0,2.8,force,,,,200.0,,air,0.0,32.15,,90.0,25.0,5.579176792147668,316L,472.828051539832,0.0
474037.966746828,236.414025769916,,67.0,,powder,676.0,750.0,stripe,,1.0,,,50.0,,L-PBF,10.0,2.8,force,,,,200.0,,air,0.0,32.15,,90.0,25.0,5.675813126670532,316L,472.828051539832,0.0
642009.964408191,202.997199115715,,67.0,,powder,676.0,750.0,stripe,,1.0,,,50.0,,L-PBF,10.0,2.8,force,,,,200.0,,air,0.0,32.15,,90.0,25.0,5.807541768651268,316L,405.99439823143,0.0
731089.535606834,202.997199115715,,67.0,,powder,676.0,750.0,stripe,,1.0,,,50.0,,L-PBF,10.0,2.8,force,,,,200.0,,air,0.0,32.15,,90.0,25.0,5.863970567708609,316L,405.99439823143,0.0
1045482.6174395,202.781844865504,,67.0,,powder,676.0,750.0,stripe,,1.0,,,50.0,,L-PBF,10.0,2.8,force,,,,200.0,,air,0.0,32.15,,90.0,25.0,6.019316816481416,316L,405.563689731008,0.0
1618404.83510438,169.035833857409,,67.0,,powder,676.0,750.0,stripe,,1.0,,,50.0,,L-PBF,10.0,2.8,force,,,,200.0,,air,0.0,32.15,,90.0,25.0,6.209087167251636,316L,338.071667714818,0.0
2440478.48674889,169.352712254148,,67.0,,powder,676.0,750.0,stripe,,1.0,,,50.0,,L-PBF,10.0,2.8,force,,,,200.0,,air,0.0,32.15,,90.0,25.0,6.387474983626457,316L,338.705424508296,0.0
2913316.9544237,169.352712254148,,67.0,,powder,676.0,750.0,stripe,,1.0,,,50.0,,L-PBF,10.0,2.8,force,,,,200.0,,air,0.0,32.15,,90.0,25.0,6.464387736281994,316L,338.705424508296,0.0
8603777.53803981,135.505177099525,,67.0,,powder,676.0,750.0,stripe,,1.0,,,50.0,,L-PBF,10.0,2.8,force,,,,200.0,,air,0.0,32.15,,90.0,25.0,6.934689172606781,316L,271.01035419905,0.0
9965849.28221878,135.175992745631,,67.0,,powder,676.0,750.0,stripe,,1.0,,,50.0,,L-PBF,10.0,2.8,force,,,,200.0,,air,0.0,32.15,,90.0,25.0,6.998514314864371,316L,270.351985491262,0.0
14969147.0679336,135.49287114237,,67.0,,powder,676.0,750.0,stripe,,1.0,,,50.0,,L-PBF,10.0,2.8,force,,,,200.0,,air,0.0,32.15,,90.0,25.0,7.175197055236644,316L,270.98574228474,0.0
61637.713113001,113.04469273743,130.0,,,powder,,1650.0,,,1.0,,,30.0,,L-PBF,,6.35,force,,,,350.0,,air,-1.0,,,90.0,25.0,4.789846517119244,AlSi10Mg,113.04469273743,-113.04469273743
67427.579893993,89.9878221759303,130.0,,,powder,,1650.0,,,1.0,,,30.0,,L-PBF,,6.35,force,,,,350.0,,air,-1.0,,,90.0,25.0,4.828837572289036,AlSi10Mg,89.9878221759303,-89.9878221759303
123126.085289379,100.012286936883,130.0,,,powder,,1650.0,,,1.0,,,30.0,,L-PBF,,6.35,force,,,,350.0,,air,-1.0,,,90.0,25.0,5.0903500715918515,AlSi10Mg,100.012286936883,-100.012286936883
4904359.8005004,88.1569066727165,130.0,,,powder,,1650.0,,,1.0,,,30.0,,L-PBF,,6.35,force,,,,350.0,,air,-1.0,,,90.0,25.0,6.690582323998106,AlSi10Mg,88.1569066727165,-88.1569066727165
5461960.87287306,88.0286882674676,130.0,,,powder,,1650.0,,,1.0,,,30.0,,L-PBF,,6.35,force,,,,350.0,,air,-1.0,,,90.0,25.0,6.737348584716899,AlSi10Mg,88.0286882674676,-88.0286882674676
