Material_Code,Fiber Volume Fraction,Fiber Weight Fraction,Fiber Weight Fraction (0-deg),Fiber Weight Fraction (45-deg),Fiber Weight Fraction (90-deg),Fiber Weight Fraction (Other Dir.),Thickness,Tab Thickness,Width,Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Ultimate Tensile Stress,Ultimate Compressive Stress,Tensile Modulus,Compressive Modulus,Ultimate Tensile Strain,Ultimate Compressive Strain,Cycles to Failure,log10(Cycles to Failure),Data source,Sequence,Resin Type
82R0400MD2,51.53639507793449,71.3071719175508,,,,,6.7124999999999995,2.0,25.20958333333333,150.0,40.0,169.01816666666667,174.6081277653221,-422.18902886449627,0.545,,0.09999999999999994,1.7108333333333334,,-421.639211262268,26.3,26.408333333333335,,,146100.0,3.89615213851865,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
83R0400MD2,50.6075884169834,70.6586248978787,,,,,6.7575,2.0,25.174166666666668,150.0,40.0,169.923025,47.92679040460092,-1069.9259769656132,0.44800000000000006,,2.908333333333333,1.9691666666666665,,-423.4136793442165,26.97,26.966666666666665,,,214862.58333333334,4.608770806965955,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
86R0300UD2,51.112704359809705,71.785921760488,,,,,3.8099999999999996,2.0,25.28981818181818,145.0,35.0,96.3515780909091,-232.859870978701,-3186.1994892738153,-0.4006145,,7.0,2.806363636363636,801.9490716600959,,41.49181818181818,39.17363636363636,2.038,,157276.81818181818,3.97601030157917,OptiMat,0/0/0/0,EP
87R0400MD2,53.25686544722541,72.937150880856,,,,,6.4363636363636365,2.0,25.264545454545456,150.0,40.0,162.6099090909091,268.68719936662274,-104.72759264695897,0.61,,-0.5181818181818182,2.6045454545454545,,,28.895000000000003,29.005000000000003,,,342932.63636363635,4.499685078157154,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
88R0400MD2,54.1050823933501,72.9018655425451,,,,,6.397,2.0,25.0922,150.0,40.0,160.442856,110.64854737636715,-768.2647772703655,0.3425910551398343,,1.984,2.2976,,-432.134959071833,28.724,28.529600000000002,,,310228.72,4.613101476450756,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
99R0410MD2,54.622329345407,73.3451300606045,,,,,6.4703333333333335,2.0,25.17033333333333,150.0,40.0,162.86041333333338,187.4976046199121,-187.4976046199121,0.7039187242207,,-1.0,1.27,486.7536871055396,-432.7605890278093,28.51,27.139,2.15332,-1.72254,105451.1,4.070219940694355,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
AGR03,,67.5,,,,,3.0949999999999998,2.0,24.812,145.434,35.3875,76.79354000000001,325.450870778187,-325.450870778187,,,-1.0,1.8,870.2021445529284,,35.078500000000005,35.078500000000005,,,426994.2,4.410624410548332,Upwind,0/90/0/90,EP
AIR03,,67.5,,,,,3.42375,2.0,24.625,145.54250000000002,34.274375,84.257875,298.26333262269173,-298.26333262269173,,,-1.0,1.75,842.2648250141433,,33.05125,33.05125,,,278513.5,4.337489508268876,Upwind,0/90/0/90,EP
ALR17,,67.5,,,,,4.553,,19.851999999999997,145.149,35.0,90.386195,331.66847302736,-331.66847302736,,,-1.0,1.6,,,36.7395,36.7395,,,62677.0,4.061818311887741,Upwind,90/0/90/0/90/0,EP
AMR07,,67.5,,,,,4.533333333333333,0.5,19.9975,145.74583333333334,35.324999999999996,90.65519166666667,314.1473259640288,-314.1473259640288,,,-1.0,1.8333333333333333,,,36.464,36.464,,,99355.58333333333,4.522927333100388,Upwind,90/0/90/0/90/0,EP
ANR03,,67.5,,,,,3.1386363636363637,1.0,24.819090909090907,145.58545454545455,34.65909090909091,77.89821818181818,321.9430150534002,-321.9430150534002,,,-1.0,1.7272727272727273,,,35.55609375,35.55609375,,,100985.27272727272,4.24580737157016,Upwind,90/0/90/0,EP
AOR08,,71.5,,,,,2.8783333333333334,0.5,19.713333333333335,129.96,20.517424242424234,56.74146666666667,364.299684123868,-364.299684123868,,,-1.0,1.6666666666666667,967.6181778778664,,40.077041666666666,39.943625,,,71695.0,3.974996058289916,Upwind,90/0/90/0,EP
ARR07,,71.5,,,,,4.12,,19.945,145.0,35.0,82.17327,-43.21091632612081,-432.10916326120815,,,10.0,1.2,,-642.424189701723,39.832,39.832,,,162144.4,4.406553706702981,Upwind,90/0/90/0/90/0,EP
ASR07,,71.5,,,,,4.216363636363637,1.0,19.75090909090909,145.36700000000002,34.97775,83.27697272727272,283.0383735754382,-283.0383735754382,,,-1.0,2.6363636363636362,,,39.56193181818182,39.56193181818182,,,480417.0909090909,4.951199558280667,Upwind,90/0/90/0/90/0,EP
AZI01,,71.5,,,,,2.76875,1.0,24.8275,261.0,149.8,68.7410125,546.4143542236028,54.64143542236028,,,0.1,1.0,1007.799702970735,,40.3220625,40.277166666666666,,,4880.75,3.529687974602314,Upwind,90/0/90/0,EP
BII01,,,,,,,3.065909090909091,1.0,24.753636363636364,261.0,149.8,75.89144545454546,395.4325186649667,39.543251866496675,,,0.1,1.7272727272727273,,,37.02759090909091,37.02759090909091,,,97216.0,4.580240735479109,Upwind,90/0/90/0,EP
